10106	2
14337	3
14452	2
1467	3
15053	2
17316	3
17376	2
21138	3
21341	2
2140	3
2147	2
25401	3
25653	2
26349	3
26925	2
27583	3
28462	2
28462	3
28478	2
30573	3
31201	2
31817	3
32128	2
32799	3
33231	2
34678	3
34779	2
36440	3
36550	2
37181	3
3729	2
39338	3
39503	2
40463	3
41091	2
42593	3
43038	2
43648	3
44397	2
44542	3
44677	2
46884	3
4736	2
47445	3
47692	2
53453	3
5351	2
54063	3
54092	2
57982	3
58389	2
60577	3
60623	2
60771	3
6080	2
61446	3
61513	2
64653	3
64766	2
65403	3
65439	2
68355	3
68393	2
70586	3
70832	2
76567	3
76574	2
76982	3
77003	2
79280	3
79321	2
79925	3
79961	2
81749	3
81889	2
88917	3
889	2
90305	3
90306	2
91876	3
91918	2
95273	3
95368	2
9720	3
